Postcode_District,Year,Measure,Value
BR1,1995,Median,75458
BR2,1995,Median,86258
BR3,1995,Median,77983
BR4,1995,Median,93816
BR5,1995,Median,71218
BR6,1995,Median,97629
BR7,1995,Median,106432
CR0,1995,Median,57436
CR2,1995,Median,78258
CR3,1995,Median,81444
CR4,1995,Median,54900
CR5,1995,Median,90700
CR7,1995,Median,50362
CR8,1995,Median,96858
DA1,1995,Median,52366
DA14,1995,Median,65876
DA15,1995,Median,70492
DA16,1995,Median,67393
DA17,1995,Median,46115
DA18,1995,Median,37779
DA5,1995,Median,82085
DA6,1995,Median,69425
DA7,1995,Median,67712
DA8,1995,Median,50255
E1,1995,Median,62887
E10,1995,Median,44703
E11,1995,Median,59653
E12,1995,Median,48656
E13,1995,Median,41889
E14,1995,Median,68113
E15,1995,Median,41740
E16,1995,Median,39814
E17,1995,Median,47943
E18,1995,Median,71740
E1W,1995,Median,105636
E2,1995,Median,52663
E3,1995,Median,66226
E4,1995,Median,71666
E5,1995,Median,53887
E6,1995,Median,46430
E7,1995,Median,45934
E8,1995,Median,61044
E9,1995,Median,54888
EC1A,1995,Median,131465
EC1M,1995,Median,52605
EC1N,1995,Median,35707
EC1R,1995,Median,171992
EC1V,1995,Median,106988
EC1Y,1995,Median,61430
EC2A,1995,Median,82360
EC2Y,1995,Median,107543
EC3N,1995,Median,N/A
EC3R,1995,Median,N/A
EC4A,1995,Median,131181
EC4M,1995,Median,2500
EC4V,1995,Median,96561
EC4Y,1995,Median,2505000
EN1,1995,Median,64674
EN2,1995,Median,80094
EN3,1995,Median,54182
EN4,1995,Median,95199
EN5,1995,Median,90548
EN8,1995,Median,64634
HA0,1995,Median,62118
HA1,1995,Median,71303
HA2,1995,Median,74371
HA3,1995,Median,74840
HA4,1995,Median,81579
HA5,1995,Median,105377
HA6,1995,Median,111558
HA7,1995,Median,94027
HA8,1995,Median,77170
HA9,1995,Median,65850
IG1,1995,Median,56288
IG11,1995,Median,52414
IG2,1995,Median,64491
IG3,1995,Median,62334
IG4,1995,Median,79798
IG5,1995,Median,79043
IG6,1995,Median,68695
IG7,1995,Median,101252
IG8,1995,Median,91670
IG9,1995,Median,96915
KT1,1995,Median,80130
KT2,1995,Median,104980
KT3,1995,Median,88715
KT4,1995,Median,83975
KT5,1995,Median,84204
KT6,1995,Median,78652
KT8,1995,Median,113664
KT9,1995,Median,76447
N1,1995,Median,108950
N10,1995,Median,98344
N11,1995,Median,69592
N12,1995,Median,85183
N13,1995,Median,75854
N14,1995,Median,91623
N15,1995,Median,52615
N16,1995,Median,68406
N17,1995,Median,48586
N18,1995,Median,50672
N19,1995,Median,86471
N1C,1995,Median,N/A
N2,1995,Median,105509
N20,1995,Median,105879
N21,1995,Median,105466
N22,1995,Median,63451
N3,1995,Median,91161
N4,1995,Median,67680
N5,1995,Median,111487
N6,1995,Median,131791
N7,1995,Median,76662
N8,1995,Median,83469
N9,1995,Median,50897
NW1,1995,Median,118329
NW10,1995,Median,60693
NW11,1995,Median,134514
NW2,1995,Median,75666
NW3,1995,Median,141211
NW4,1995,Median,81820
NW5,1995,Median,99597
NW6,1995,Median,91751
NW7,1995,Median,94430
NW8,1995,Median,147976
NW9,1995,Median,64009
RM1,1995,Median,65793
RM10,1995,Median,44362
RM11,1995,Median,85506
RM12,1995,Median,66680
RM13,1995,Median,54150
RM14,1995,Median,91334
RM2,1995,Median,89240
RM3,1995,Median,57748
RM4,1995,Median,90228
RM5,1995,Median,61298
RM6,1995,Median,59920
RM7,1995,Median,57000
RM8,1995,Median,48122
RM9,1995,Median,44039
SE1,1995,Median,87372
SE10,1995,Median,87938
SE11,1995,Median,75340
SE12,1995,Median,61687
SE13,1995,Median,52703
SE14,1995,Median,44731
SE15,1995,Median,50382
SE16,1995,Median,79979
SE17,1995,Median,52445
SE18,1995,Median,48737
SE19,1995,Median,49594
SE2,1995,Median,46900
SE20,1995,Median,46968
SE21,1995,Median,94246
SE22,1995,Median,63324
SE23,1995,Median,55960
SE24,1995,Median,79090
SE25,1995,Median,44355
SE26,1995,Median,56365
SE27,1995,Median,57219
SE28,1995,Median,42716
SE3,1995,Median,96787
SE4,1995,Median,49502
SE5,1995,Median,60231
SE6,1995,Median,54493
SE7,1995,Median,58396
SE8,1995,Median,45084
SE9,1995,Median,69083
SM1,1995,Median,62253
SM2,1995,Median,78120
SM3,1995,Median,73495
SM4,1995,Median,70825
SM5,1995,Median,68086
SM6,1995,Median,64289
SM7,1995,Median,105968
SW10,1995,Median,165461
SW11,1995,Median,102878
SW12,1995,Median,88761
SW13,1995,Median,172159
SW14,1995,Median,146799
SW15,1995,Median,104344
SW16,1995,Median,58442
SW17,1995,Median,70107
SW18,1995,Median,90420
SW19,1995,Median,91517
SW1A,1995,Median,225021
SW1E,1995,Median,165613
SW1H,1995,Median,66014
SW1P,1995,Median,150140
SW1V,1995,Median,132858
SW1W,1995,Median,209250
SW1X,1995,Median,265594
SW1Y,1995,Median,218281
SW2,1995,Median,59608
SW20,1995,Median,95269
SW3,1995,Median,197248
SW4,1995,Median,94531
SW5,1995,Median,137618
SW6,1995,Median,133555
SW7,1995,Median,218856
SW8,1995,Median,71013
SW9,1995,Median,60818
TN14,1995,Median,95038
TN16,1995,Median,88980
TW1,1995,Median,105006
TW10,1995,Median,144625
TW11,1995,Median,110423
TW12,1995,Median,97563
TW13,1995,Median,60723
TW14,1995,Median,63296
TW2,1995,Median,92175
TW3,1995,Median,61705
TW4,1995,Median,58437
TW5,1995,Median,68295
TW7,1995,Median,73647
TW8,1995,Median,69619
TW9,1995,Median,121819
UB1,1995,Median,53284
UB10,1995,Median,89981
UB2,1995,Median,58129
UB3,1995,Median,56942
UB4,1995,Median,60354
UB5,1995,Median,54615
UB6,1995,Median,67727
UB7,1995,Median,58361
UB8,1995,Median,66995
UB9,1995,Median,84240
W10,1995,Median,90716
W11,1995,Median,154895
W12,1995,Median,83078
W13,1995,Median,91273
W14,1995,Median,109994
W1B,1995,Median,197382
W1D,1995,Median,175387
W1F,1995,Median,133880
W1G,1995,Median,148346
W1H,1995,Median,140581
W1J,1995,Median,238138
W1K,1995,Median,271835
W1S,1995,Median,441109
W1T,1995,Median,110259
W1U,1995,Median,150854
W1W,1995,Median,85260
W2,1995,Median,122144
W3,1995,Median,80831
W4,1995,Median,119418
W5,1995,Median,101812
W6,1995,Median,105415
W7,1995,Median,70827
W8,1995,Median,242327
W9,1995,Median,112569
WC1A,1995,Median,168260
WC1B,1995,Median,149594
WC1E,1995,Median,95139
WC1H,1995,Median,65163
WC1N,1995,Median,107215
WC1R,1995,Median,135371
WC1X,1995,Median,108016
WC2B,1995,Median,108062
WC2E,1995,Median,239202
WC2H,1995,Median,120570
WC2N,1995,Median,242147
WC2R,1995,Median,189816
BR1,1996,Median,80688
BR2,1996,Median,86552
BR3,1996,Median,80662
BR4,1996,Median,93870
BR5,1996,Median,76896
BR6,1996,Median,102923
BR7,1996,Median,115486
CR0,1996,Median,60919
CR2,1996,Median,80613
CR3,1996,Median,86272
CR4,1996,Median,56299
CR5,1996,Median,98089
CR7,1996,Median,54225
CR8,1996,Median,101809
DA1,1996,Median,54140
DA14,1996,Median,72949
DA15,1996,Median,73494
DA16,1996,Median,65597
DA17,1996,Median,49747
DA18,1996,Median,37610
DA5,1996,Median,86177
