Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
HA0 1AA,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AB,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AD,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AE,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AF,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AG,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AH,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AJ,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AN,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AP,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AQ,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AR,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AS,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AT,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AU,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1AW,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BA,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BB,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1BD,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BE,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BF,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BG,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BH,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1BJ,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BL,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BN,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BP,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BQ,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1BX,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BY,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1BZ,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1DA,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1DB,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1DX,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1DY,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1DZ,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EA,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EB,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1ED,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1EE,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1EF,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1EG,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1EH,Live,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1EJ,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EL,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EN,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EP,Live,E01000632,Brent 029E E01000632,15543,5,16907,6,0.096,24656,8,0.05,9481,3,30816,10,15619,5,2263,1,8102,3,26128,8,0.057,5147,2,0.288
HA0 1EQ,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1ER,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1ES,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1ET,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EU,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EW,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EX,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EY,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1EZ,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1FA,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FB,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FD,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1FE,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FF,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1FG,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1FH,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FJ,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1FL,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FN,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1FP,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1FQ,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FR,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1FS,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1FT,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FW,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1FX,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1FY,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1FZ,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1GA,Terminated,E01000476,Brent 026C E01000476,14647,5,16687,6,0.098,22147,7,0.058,9107,3,29600,10,10748,4,2784,1,9031,3,19694,6,0.098,8800,3,0.218
HA0 1GB,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1GD,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1GE,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1GF,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1GG,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1GH,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1GJ,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1GL,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1GN,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1GP,Terminated,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1GQ,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1GS,Terminated,E01000476,Brent 026C E01000476,14647,5,16687,6,0.098,22147,7,0.058,9107,3,29600,10,10748,4,2784,1,9031,3,19694,6,0.098,8800,3,0.218
HA0 1GT,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1GU,Terminated,E01000612,Brent 019B E01000612,12061,4,9461,3,0.162,18579,6,0.071,20434,7,19754,7,11648,4,861,1,14684,5,13454,5,0.156,2887,1,0.356
HA0 1GW,Terminated,E01000476,Brent 026C E01000476,14647,5,16687,6,0.098,22147,7,0.058,9107,3,29600,10,10748,4,2784,1,9031,3,19694,6,0.098,8800,3,0.218
HA0 1GX,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1GY,Terminated,E01000475,Brent 029C E01000475,13473,5,13267,5,0.124,19273,6,0.068,18822,6,28063,9,23209,8,97,1,12433,4,18318,6,0.109,3895,2,0.321
HA0 1GZ,Terminated,E01000477,Brent 026D E01000477,11703,4,14969,5,0.11,21110,7,0.061,8255,3,28680,9,18394,6,119,1,9135,3,17582,6,0.115,8099,3,0.229
HA0 1HA,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1HB,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1HD,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HE,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HG,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HH,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HJ,Terminated,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HL,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HN,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1HP,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1HQ,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HR,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
HA0 1HS,Live,E01000472,Brent 029A E01000472,12105,4,11149,4,0.143,23212,8,0.055,19631,6,26106,8,16042,5,560,1,3827,2,8100,3,0.23,6763,3,0.253
HA0 1HT,Live,E01000478,Brent 029D E01000478,11562,4,12137,4,0.134,20258,7,0.064,12606,4,29362,9,10325,4,1049,1,4963,2,12946,4,0.162,7225,3,0.244
