Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
NW10 4UY,Live,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5AZ,Live,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5BD,Live,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5BQ,Live,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5BR,Live,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5LX,Terminated,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5LY,Terminated,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5LZ,Terminated,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5NE,Terminated,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
NW10 5NG,Live,E01001877,Hammersmith and Fulham 001D E01001877,6532,2,6516,2,0.202,6699,3,0.149,22569,7,9633,3,6019,2,4438,2,3153,1,6124,2,0.264,4671,2,0.301
