Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
NW10 5NU,Live,E01002852,Kensington and Chelsea 001A E01002852,3797,2,2283,1,0.297,4628,2,0.175,16437,6,9614,3,5320,2,1728,1,5787,2,774,1,0.444,1962,1,0.396
SW10 0AB,Live,E01002841,Kensington and Chelsea 021B E01002841,9898,4,10534,4,0.15,10111,4,0.117,29071,9,15154,5,4207,2,3738,2,6425,2,17182,6,0.119,4808,2,0.297
SW10 0AD,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AE,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AF,Live,E01002913,Kensington and Chelsea 021E E01002913,16091,5,15370,5,0.107,20914,7,0.062,29324,9,29958,10,6980,3,5803,2,3690,2,14413,5,0.146,7270,3,0.244
SW10 0AG,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AH,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AJ,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AL,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AN,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AP,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AQ,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AR,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AS,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AT,Terminated,E01002842,Kensington and Chelsea 021C E01002842,2593,1,823,1,0.363,2197,1,0.222,15369,5,12016,4,8013,3,1747,1,7200,3,2517,1,0.354,403,1,0.54
SW10 0AU,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AW,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AX,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AY,Live,E01002912,Kensington and Chelsea 020E E01002912,20040,7,23912,8,0.059,30223,10,0.032,20326,7,28540,9,16117,5,6649,3,2549,1,24884,8,0.064,16639,6,0.126
SW10 0AZ,Live,E01002911,Kensington and Chelsea 019D E01002911,21556,7,31634,10,0.025,32587,10,0.015,31434,10,32824,10,6974,3,10121,4,1161,1,31459,10,0.024,28176,9,0.055
SW10 0BA,Terminated,E01002842,Kensington and Chelsea 021C E01002842,2593,1,823,1,0.363,2197,1,0.222,15369,5,12016,4,8013,3,1747,1,7200,3,2517,1,0.354,403,1,0.54
SW10 0BB,Live,E01002840,Kensington and Chelsea 021A E01002840,4981,2,3109,1,0.273,4491,2,0.177,21689,7,19544,6,4782,2,2618,1,4131,2,2169,1,0.367,4362,2,0.308
